filename,filepath,predicted_class_id,predicted_class_name,confidence,probability_vector,prob_car-alarm,prob_community-radio,prob_construction-site,prob_crowd-noise,prob_generator,prob_mobile-music,prob_motorvehicle-horn,prob_motorvehicle-siren
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0000.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0000.wav,6,motorvehicle-horn,0.5584819912910461,"[0.41776272654533386, 0.00029736413853242993, 0.0052251061424613, 0.0031578282359987497, 0.007850931026041508, 0.0005423399270512164, 0.5584819912910461, 0.0066817160695791245]",0.41776272654533386,0.00029736413853242993,0.0052251061424613,0.0031578282359987497,0.007850931026041508,0.0005423399270512164,0.5584819912910461,0.0066817160695791245
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0001.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0001.wav,6,motorvehicle-horn,0.7512505054473877,"[0.09881718456745148, 0.0008858222863636911, 0.0011951846536248922, 0.0015637042233720422, 0.13209256529808044, 0.00017934855713974684, 0.7512505054473877, 0.014015651308000088]",0.09881718456745148,0.0008858222863636911,0.0011951846536248922,0.0015637042233720422,0.13209256529808044,0.00017934855713974684,0.7512505054473877,0.014015651308000088
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0002.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0002.wav,6,motorvehicle-horn,0.8965340256690979,"[0.036244168877601624, 0.00037598208291456103, 0.008439624682068825, 0.002124582417309284, 0.053932178765535355, 0.0008688626694492996, 0.8965340256690979, 0.0014806055696681142]",0.036244168877601624,0.00037598208291456103,0.008439624682068825,0.002124582417309284,0.053932178765535355,0.0008688626694492996,0.8965340256690979,0.0014806055696681142
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0003.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0003.wav,6,motorvehicle-horn,0.9587879180908203,"[0.02769629657268524, 0.0006201508222147822, 0.0023635681718587875, 0.0020357761532068253, 0.0024367314763367176, 0.005059325601905584, 0.9587879180908203, 0.0010003416100516915]",0.02769629657268524,0.0006201508222147822,0.0023635681718587875,0.0020357761532068253,0.0024367314763367176,0.005059325601905584,0.9587879180908203,0.0010003416100516915
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0004.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0004.wav,6,motorvehicle-horn,0.9572908878326416,"[0.038735873997211456, 8.404090476687998e-05, 0.0010664969449862838, 0.001056516426615417, 0.0009014669922180474, 0.0001111807650886476, 0.9572908878326416, 0.0007534343749284744]",0.038735873997211456,8.404090476687998e-05,0.0010664969449862838,0.001056516426615417,0.0009014669922180474,0.0001111807650886476,0.9572908878326416,0.0007534343749284744
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0005.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0005.wav,6,motorvehicle-horn,0.9659891128540039,"[0.030528508126735687, 0.0001239290286321193, 0.0007271827780641615, 0.0009633515146560967, 0.0007188314921222627, 9.723591210786253e-05, 0.9659891128540039, 0.0008517627720721066]",0.030528508126735687,0.0001239290286321193,0.0007271827780641615,0.0009633515146560967,0.0007188314921222627,9.723591210786253e-05,0.9659891128540039,0.0008517627720721066
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0006.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0006.wav,6,motorvehicle-horn,0.9629026055335999,"[0.03338302671909332, 0.00010518625640543178, 0.0008260436588898301, 0.0011559155536815524, 0.0008482876583002508, 0.00014933136117178947, 0.9629026055335999, 0.0006296266219578683]",0.03338302671909332,0.00010518625640543178,0.0008260436588898301,0.0011559155536815524,0.0008482876583002508,0.00014933136117178947,0.9629026055335999,0.0006296266219578683
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0007.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0007.wav,6,motorvehicle-horn,0.9564323425292969,"[0.03915594890713692, 0.0003014601825270802, 0.0008238488808274269, 0.0016103456728160381, 0.00017047126311808825, 0.0007683071889914572, 0.9564323425292969, 0.0007372475229203701]",0.03915594890713692,0.0003014601825270802,0.0008238488808274269,0.0016103456728160381,0.00017047126311808825,0.0007683071889914572,0.9564323425292969,0.0007372475229203701
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0008.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0008.wav,6,motorvehicle-horn,0.9808854460716248,"[0.014909214340150356, 0.00023219270224217325, 0.0006815469823777676, 0.0013675387017428875, 0.00021198966715019196, 0.0014987970935180783, 0.9808854460716248, 0.00021315757476259023]",0.014909214340150356,0.00023219270224217325,0.0006815469823777676,0.0013675387017428875,0.00021198966715019196,0.0014987970935180783,0.9808854460716248,0.00021315757476259023
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0009.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0009.wav,6,motorvehicle-horn,0.9695858955383301,"[0.028184877708554268, 0.00014210253721103072, 0.00026449692086316645, 0.0007669839542359114, 0.00021382651175372303, 7.808156806277111e-05, 0.9695858955383301, 0.0007638505776412785]",0.028184877708554268,0.00014210253721103072,0.00026449692086316645,0.0007669839542359114,0.00021382651175372303,7.808156806277111e-05,0.9695858955383301,0.0007638505776412785
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0010.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0010.wav,6,motorvehicle-horn,0.953313410282135,"[0.033966582268476486, 0.0006725886487402022, 0.002659805119037628, 0.0034709901083260775, 0.0034579592756927013, 0.0007600770331919193, 0.953313410282135, 0.0016986472764983773]",0.033966582268476486,0.0006725886487402022,0.002659805119037628,0.0034709901083260775,0.0034579592756927013,0.0007600770331919193,0.953313410282135,0.0016986472764983773
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0011.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0011.wav,6,motorvehicle-horn,0.6203176975250244,"[0.34621718525886536, 0.00028012122493237257, 0.0027972881216555834, 0.0009529968374408782, 0.02182643674314022, 0.00023497572692576796, 0.6203176975250244, 0.007373292464762926]",0.34621718525886536,0.00028012122493237257,0.0027972881216555834,0.0009529968374408782,0.02182643674314022,0.00023497572692576796,0.6203176975250244,0.007373292464762926
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0012.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0012.wav,6,motorvehicle-horn,0.8368781805038452,"[0.07908733934164047, 0.005612185224890709, 0.0013550975127145648, 0.002034888369962573, 0.0005180633161216974, 0.00481567345559597, 0.8368781805038452, 0.06969862431287766]",0.07908733934164047,0.005612185224890709,0.0013550975127145648,0.002034888369962573,0.0005180633161216974,0.00481567345559597,0.8368781805038452,0.06969862431287766
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0013.wav,../pre_inference/processed_media/audio_chunks/YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0013.wav,6,motorvehicle-horn,0.9617191553115845,"[0.03487059473991394, 0.0002165618643630296, 0.0005221578176133335, 0.001318225753493607, 0.00012490646622609347, 0.00043707602890208364, 0.9617191553115845, 0.0007911896682344377]",0.03487059473991394,0.0002165618643630296,0.0005221578176133335,0.001318225753493607,0.00012490646622609347,0.00043707602890208364,0.9617191553115845,0.0007911896682344377
